Date,SPY_Price,QQQ_Price,VTI_Price
2012-10-26,112.0542984008789,58.25421524047852,57.46950912475586
2012-10-31,112.0542984008789,57.89763641357422,57.50130462646485
2012-11-01,113.22754669189452,58.71774673461914,58.2248649597168
2012-11-02,112.22075653076172,58.0937728881836,57.62054061889648
2012-11-05,112.45061492919922,58.47708511352539,57.80341339111328
2012-11-06,113.33060455322266,58.58404541015625,58.24074172973633
2012-11-07,110.7621078491211,57.20234680175781,56.9367790222168
2012-11-08,109.4302978515625,56.30202102661133,56.21322250366211
2012-11-09,109.52546691894533,56.54270553588867,56.268890380859375
2012-11-12,109.61262512207033,56.53379440307617,56.30069732666016
2012-11-13,109.23210906982422,56.14155578613281,56.08602142333984
2012-11-14,107.75759887695312,55.48190307617188,55.298858642578125
2012-11-15,107.57526397705078,55.29473114013672,55.15575408935547
2012-11-16,108.10639190673828,55.535404205322266,55.45790100097656
2012-11-19,110.29437255859376,56.85470199584961,56.60283279418945
2012-11-20,110.34195709228516,56.87251281738281,56.66643905639648
2012-11-21,110.54806518554688,56.98841094970703,56.80952453613281
2012-11-23,112.0542984008789,57.85308837890625,57.54900360107422
2012-11-26,111.81645965576172,58.10269165039063,57.47743225097656
2012-11-27,111.2457046508789,57.906551361083984,57.1753044128418
2012-11-28,112.14146423339844,58.40576171875,57.62850570678711
2012-11-29,112.66468811035156,58.75341033935547,57.96246719360352
2012-11-30,112.68843841552734,58.655364990234375,57.94654083251953
2012-12-03,112.13351440429688,58.53947830200195,57.69211196899414
2012-12-04,111.97500610351562,58.50381088256836,57.61260223388672
2012-12-05,112.17320251464844,57.85308837890625,57.723915100097656
2012-12-06,112.5537109375,58.22747421264648,57.90678405761719
2012-12-07,112.8945770263672,57.87982177734375,58.07375717163086
2012-12-10,112.94214630126952,58.049198150634766,58.14532852172852
2012-12-11,113.71107482910156,58.806907653808594,58.511077880859375
2012-12-12,113.76657104492188,58.682090759277344,58.53490447998047
2012-12-13,113.0689697265625,58.218563079833984,58.20096969604492
2012-12-14,112.64881896972656,57.66588592529297,57.95447540283203
2012-12-17,113.9727020263672,58.432498931884766,58.67804336547852
2012-12-18,115.24107360839844,59.32392883300781,59.36179733276367
2012-12-19,114.38494873046876,59.06543350219727,58.99607467651367
2012-12-20,115.04290771484376,59.06543350219727,59.3204460144043
2012-12-21,113.99864196777344,58.44422149658203,58.81584167480469
2012-12-24,113.64739227294922,58.32768249511719,58.61560821533203
2012-12-26,113.16834259033205,57.81675720214844,58.33525466918945
2012-12-27,113.01666259765624,57.72712326049805,58.28720474243164
2012-12-28,111.7951889038086,57.17136764526367,57.65439987182617
2012-12-31,113.69529724121094,58.381465911865234,58.695709228515625
2013-01-02,116.60931396484376,60.23698043823242,60.18553924560547
2013-01-03,116.34584045410156,59.92323684692383,60.097412109375
2013-01-04,116.85681915283205,59.72605514526367,60.40179061889648
2013-01-07,116.5374526977539,59.74396514892578,60.241607666015625
2013-01-08,116.2021255493164,59.6274528503418,60.08141708374024
2013-01-09,116.49754333496094,59.8515510559082,60.265602111816406
2013-01-10,117.42365264892578,60.21010971069336,60.68212127685547
2013-01-11,117.41566467285156,60.29076766967773,60.69012451171875
2013-01-14,117.33584594726562,60.0218505859375,60.626068115234375
2013-01-15,117.41566467285156,59.72605514526367,60.73819351196289
2013-01-16,117.39971923828124,59.96809387207031,60.69012451171875
2013-01-17,118.15816497802734,60.25490951538086,61.10666275024414
2013-01-18,118.42162322998048,60.12044906616211,61.27484130859375
2013-01-22,119.060302734375,60.21906280517578,61.59523391723633
2013-01-23,119.25187683105467,60.58657836914063,61.66732406616211
2013-01-24,119.28385925292967,59.75294494628906,61.73942947387695
2013-01-25,119.95441436767578,60.05771255493164,62.08385467529297
2013-01-28,119.81076049804688,60.192169189453125,62.02776336669922
2013-01-29,120.28179931640624,60.20112991333008,62.23603439331055
2013-01-30,119.81076049804688,60.07564163208008,61.987735748291016
2013-01-31,119.51532745361328,59.94117736816406,61.87557601928711
2013-02-01,120.7448501586914,60.64931106567383,62.47632598876953
2013-02-04,119.38762664794922,59.59159469604492,61.819480895996094
2013-02-05,120.59317779541016,60.47005462646485,62.40422058105469
2013-02-06,120.68099212646484,60.27284240722656,62.51637649536133
2013-02-07,120.52134704589844,60.326637268066406,62.40422058105469
2013-02-08,121.19190979003906,60.94514846801758,62.780704498291016
2013-02-11,121.16796875,60.96306991577149,62.7486457824707
2013-02-12,121.36756134033205,60.712059020996094,62.85277557373047
2013-02-13,121.47136688232422,60.927207946777344,62.94087600708008
2013-02-14,121.58309173583984,60.90926742553711,63.02096939086914
2013-02-15,121.43941497802734,60.73000717163086,62.94889450073242
2013-02-19,122.34957885742188,61.169227600097656,63.389442443847656
2013-02-20,120.8246612548828,60.22802734375,62.54840469360352
2013-02-21,120.09019470214844,59.58262252807617,62.1238899230957
2013-02-22,121.26382446289062,60.183204650878906,62.7246208190918
2013-02-25,118.95651245117188,59.43921661376953,61.57122039794922
2013-02-26,119.77085876464844,59.66329574584961,61.96368789672852
2013-02-27,121.2797622680664,60.27284240722656,62.7246208190918
2013-02-28,121.04019165039062,60.14735412597656,62.66853713989258
2013-03-01,121.43941497802734,60.39833831787109,62.81271743774414
2013-03-04,122.08609771728516,60.66726303100586,63.10106658935547
2013-03-05,123.17987823486328,61.56363677978516,63.73385238647461
2013-03-06,123.3475112915039,61.411258697509766,63.829986572265625
