Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50
2016-10-20,184.07916259765625,110.37471771240234,94.4788818359375,185.5161654663086,109.9723876953125,95.27799697875976
2016-10-21,184.1652374267578,110.78728485107422,94.44450378417967,185.45469482421876,109.99719360351563,95.24692260742188
2016-10-24,184.94845581054688,112.11881256103516,94.91758728027344,185.41214141845703,110.04713272094726,95.2271923828125
2016-10-25,184.32876586914065,111.7624969482422,94.51331329345705,185.34640655517578,110.08059234619141,95.19235809326172
2016-10-26,183.9586944580078,111.00296020507812,94.22946166992188,185.29262329101562,110.11102066040038,95.16280334472657
2016-10-27,183.4680938720703,110.4966049194336,93.91120147705078,185.22200622558594,110.12739364624024,95.12448608398438
2016-10-28,182.92588806152344,109.802734375,93.60157012939452,185.13215240478516,110.12932754516602,95.07398529052735
2016-10-31,182.9344787597656,109.69959259033205,93.66178131103516,185.04795104980468,110.12976028442382,95.02742736816407
2016-11-01,181.6090240478516,108.87442016601562,92.96504974365234,184.93741119384765,110.1120051574707,94.96642135620117
2016-11-02,180.5160369873047,108.00235748291016,92.3199462890625,184.79747680664062,110.072880859375,94.88737716674805
2016-11-03,179.68975830078125,106.94281005859376,91.91566467285156,184.66019866943358,110.02678268432618,94.81103317260742
2016-11-04,179.49185180664062,106.56771087646484,91.85546112060548,184.5215316772461,109.97673736572266,94.73468322753907
2016-11-07,183.45089721679688,109.09944915771484,93.88538360595705,184.4690670776367,109.97414642333985,94.70286926269532
2016-11-08,184.277099609375,109.81209564208984,94.28968048095705,184.41480072021486,109.98281524658204,94.66869842529297
2016-11-09,186.23085021972656,110.31846618652344,95.45948028564452,184.40577575683594,110.00872009277344,94.66100494384766
2016-11-10,186.695556640625,108.5368423461914,95.79493713378906,184.4166632080078,110.00123718261719,94.66549850463868
2016-11-11,186.26524353027344,108.58373260498048,95.82936096191406,184.41877288818358,109.98907989501953,94.6696533203125
2016-11-14,186.4116058349609,107.48663330078124,96.07878112792967,184.4070260620117,109.9478727722168,94.66903900146484
2016-11-15,187.86610412597656,108.97756958007812,96.82711029052734,184.41306518554688,109.92282775878907,94.67791290283203
2016-11-16,187.5132293701172,109.6245574951172,96.68951416015624,184.41238952636718,109.90941329956054,94.68146697998047
2016-11-17,188.47711181640625,110.42160034179688,97.17979431152344,184.43955352783203,109.92484725952148,94.69979095458984
2016-11-18,188.0554962158203,110.0090103149414,96.99916076660156,184.54785888671876,109.98721466064453,94.76243728637695
2016-11-21,189.4755706787109,111.15298461914062,97.73030090332033,184.6321585083008,110.0341130065918,94.81351333618164
2016-11-22,189.8456268310547,111.49056243896484,98.01412963867188,184.77712310791014,110.1072169494629,94.90004425048828
2016-11-23,189.9488983154297,111.04045867919922,98.15174865722656,184.92552337646484,110.16103088378907,94.98915557861328
2016-11-25,190.6547088623047,111.3967742919922,98.5302276611328,185.05156036376954,110.18829803466797,95.06656875610352
2016-11-28,189.7595977783203,111.14362335205078,97.96251678466795,185.17394775390625,110.2115525817871,95.14019744873048
2016-11-29,190.1296539306641,111.5280532836914,98.10015106201172,185.303046875,110.25206024169921,95.2138264465332
2016-11-30,189.67352294921875,110.17781066894533,97.86790466308594,185.42285095214845,110.26143768310547,95.28367095947266
2016-12-01,188.97637939453125,108.2743148803711,97.463623046875,185.48740112304688,110.21117828369141,95.32375381469727
2016-12-02,189.07101440429688,108.4899673461914,97.463623046875,185.53043365478516,110.14760330200195,95.34990219116212
2016-12-05,190.2071075439453,109.33387756347656,98.14315795898438,185.61667236328125,110.1151594543457,95.40065078735351
2016-12-06,190.8095245361328,109.596435546875,98.64202880859376,185.74508239746095,110.10653274536133,95.47651580810548
2016-12-07,193.3054962158203,110.98419952392578,99.8634262084961,185.90051849365236,110.10390747070312,95.56597091674804
2016-12-08,193.7788848876953,111.1811065673828,100.22473907470705,186.04700378417968,110.10146957397461,95.65147048950195
2016-12-09,194.9493408203125,112.05315399169922,100.76661682128906,186.2506362915039,110.13260055541993,95.76655883789063
2016-12-12,194.7256317138672,111.54681396484376,100.50857543945312,186.42190795898438,110.13710189819336,95.86151931762696
2016-12-13,196.02523803710932,112.9533462524414,101.09346771240234,186.62812347412108,110.17292144775391,95.9740266418457
2016-12-14,194.4071655273437,112.71891784667967,100.18171691894533,186.82091247558594,110.20742813110351,96.07690017700196
2016-12-15,195.2076110839844,112.8970947265625,100.5945816040039,187.0133578491211,110.23762191772461,96.18063430786133
2016-12-16,194.82583618164065,112.47858428955078,100.43975830078124,187.19558532714845,110.26057022094727,96.28058380126953
2016-12-19,195.25001525878903,112.93938446044922,100.72362518310548,187.3990350341797,110.29761123657227,96.3934358215332
2016-12-20,196.0032196044922,113.37198638916016,101.15377044677734,187.59826904296875,110.32923843383789,96.50456939697266
2016-12-21,195.4578094482422,113.2873764038086,100.86817932128906,187.83358764648438,110.39105514526368,96.6354508972168
2016-12-22,195.1201629638672,112.9676284790039,100.60847473144533,188.05733276367187,110.44835235595703,96.75890197753907
2016-12-23,195.40586853027344,113.04286193847656,100.7642822265625,188.29884185791016,110.5150308227539,96.89217895507812
2016-12-27,195.89065551757807,113.6259307861328,101.0152816772461,188.54815399169922,110.59074462890625,97.03099166870118
2016-12-28,194.271728515625,112.74190521240234,100.17572784423828,188.77782531738282,110.65477935791016,97.15834640502929
2016-12-29,194.2284545898437,112.58201599121094,100.18438720703124,188.98373626708985,110.69611221313477,97.27486434936523
2016-12-30,193.51852416992188,111.42526245117188,99.81221771240234,189.16563781738282,110.71449783325195,97.37791732788087
2017-01-03,194.9989776611328,112.42214965820312,100.5738754272461,189.38403411865235,110.75544647216798,97.49981719970702
2017-01-04,196.1590118408203,113.03343200683594,101.3441925048828,189.62390960693358,110.8003694152832,97.6378109741211
2017-01-05,196.0032196044922,113.67293548583984,101.14512634277344,189.8450048828125,110.8314518737793,97.76236175537109
2017-01-06,196.7044677734375,114.66983032226562,101.46537017822266,190.09251892089844,110.88959854125977,97.9014028930664
2017-01-09,196.0551605224609,115.0460205078125,101.07587432861328,190.3344482421875,110.97045974731445,98.03833114624024
2017-01-10,196.0551605224609,115.29994201660156,101.15377044677734,190.5861895751953,111.06652648925781,98.18318252563476
2017-01-11,196.6092071533203,115.61028289794922,101.47402954101562,190.85985595703124,111.1826774597168,98.34063171386718
2017-01-12,196.11569213867188,115.43161010742188,101.20570373535156,191.12348022460938,111.29731781005859,98.49151016235352
2017-01-13,196.56591796875,115.82660675048828,101.45671081542967,191.42261810302733,111.43636154174804,98.66134338378906
2017-01-17,195.8733673095703,115.47862243652344,101.00662994384766,191.72976470947265,111.58588684082031,98.83507705688477
2017-01-18,196.3062286376953,115.7137451171875,101.24034118652344,192.06209411621094,111.76130554199219,99.02157058715821
2017-01-19,195.5790252685547,115.65734100341795,100.84220123291016,192.3838375854492,111.94309814453125,99.2013053894043
2017-01-20,196.29754638671875,115.9112319946289,101.1883773803711,192.64077056884764,112.07933380126953,99.34736526489257
2017-01-23,195.78677368164065,116.00527954101562,100.92005920410156,192.87096405029297,112.20319747924805,99.47997283935547
2017-01-24,197.04209899902344,116.78585815429688,101.70771026611328,193.0871890258789,112.33254531860352,99.60493743896484
2017-01-25,198.7476348876953,117.96146392822266,102.58186340332033,193.3282305908203,112.52103775024415,99.74067596435548
2017-01-26,198.539794921875,118.08367919921876,102.43473052978516,193.57372161865234,112.7110366821289,99.8727833557129
2017-01-27,198.22813415527344,118.30941009521484,102.27027893066406,193.8100521850586,112.92749221801758,99.99661331176758
2017-01-30,196.99884033203125,117.38776397705078,101.577880859375,193.99270690917967,113.09569610595703,100.09162872314454
2017-01-31,196.98147583007807,117.15264129638672,101.66444396972656,194.1820718383789,113.24625778198242,100.19112731933593
2017-02-01,197.05943298339844,117.96146392822266,101.65577697753906,194.35371826171874,113.39705505371094,100.28064697265626
2017-02-02,197.1892547607422,117.85799407958984,101.72501373291016,194.5363934326172,113.5540347290039,100.37516403198242
2017-02-03,198.54844665527344,118.19656372070312,102.49533081054688,194.71785095214844,113.69490631103515,100.47046463012695
2017-02-06,198.1934814453125,118.33763122558594,102.25296020507812,194.88480804443358,113.83184768676757,100.55524124145508
2017-02-07,198.2021484375,118.77024841308594,102.2443389892578,195.049873046875,113.9864434814453,100.6370930480957
2017-02-08,198.46188354492188,118.96774291992188,102.35687255859376,195.20601654052734,114.13786285400391,100.71362594604493
2017-02-09,199.6393280029297,119.40032958984376,103.0319595336914,195.40361114501954,114.30299697875977,100.81501480102538
2017-02-10,200.42713928222656,119.79532623291016,103.4647216796875,195.60956085205078,114.46834243774414,100.9223062133789
2017-02-13,201.5179748535156,120.47248077392578,103.98404693603516,195.8464498901367,114.67423583984375,101.04462905883788
2017-02-14,202.32305908203125,120.87686920166016,104.36486053466795,196.1133834838867,114.92628692626953,101.18265380859376
2017-02-15,203.3793029785156,121.5915756225586,104.93608856201172,196.39954925537108,115.18831909179687,101.33210311889648
2017-02-16,203.20616149902344,121.5540008544922,104.84093475341795,196.65953033447266,115.43272155761719,101.46605865478516
2017-02-17,203.52647399902344,122.08062744140624,104.99669647216795,196.91386932373047,115.68240539550781,101.59315200805663
2017-02-21,204.7385406494141,122.68252563476562,105.61986541748048,197.14253021240233,115.9163719177246,101.70828079223632
2017-02-22,204.55670166015625,122.72955322265624,105.48137664794922,197.35808654785157,116.14734085083008,101.81341354370117
2017-02-23,204.6952514648437,122.26871490478516,105.40349578857422,197.5530047607422,116.3516520690918,101.90615112304687
2017-02-24,204.9549560546875,122.5038604736328,105.57658386230467,197.7575912475586,116.57079299926758,102.0075112915039
2017-02-27,205.27525329589844,122.65431213378906,105.81026458740234,197.94259155273437,116.76481231689453,102.10184722900391
2017-02-28,204.72122192382807,122.27816009521484,105.42081451416016,198.14887268066406,116.95599716186524,102.20662918090821
2017-03-01,207.5867462158203,123.61360168457033,106.84026336669922,198.39645538330078,117.1703273010254,102.33154281616211
2017-03-02,206.27951049804688,122.99288940429688,106.15650177001952,198.6255288696289,117.38061340332031,102.44587768554688
2017-03-03,206.40936279296875,123.21861267089844,106.2430419921875,198.8487158203125,117.5861979675293,102.55626602172852
2017-03-06,205.79473876953125,122.94586181640624,105.82758331298828,199.0445462036133,117.77767547607422,102.64974227905273
2017-03-07,205.18003845214844,122.73895263671876,105.49002838134766,199.2389907836914,117.96670700073243,102.7421792602539
2017-03-08,204.799072265625,122.9552764892578,105.1957778930664,199.43256896972656,118.1664599609375,102.83392532348633
2017-03-09,205.058822631836,123.04930114746094,105.24768829345705,199.62562805175781,118.36658874511718,102.92359344482422
2017-03-10,205.7773895263672,123.56658935546876,105.62852478027344,199.8233627319336,118.5654019165039,103.01585830688477
2017-03-13,205.8812561035156,123.77344512939452,105.7064437866211,200.0555532836914,118.78603271484376,103.12647262573242
2017-03-14,205.0934295654297,123.47248840332033,105.32559204101562,200.27285278320312,119.00384216308593,103.22929672241212
2017-03-15,206.8682403564453,124.23433685302734,106.2776870727539,200.5398471069336,119.26002365112305,103.35860610961915
2017-03-16,206.46128845214844,124.149658203125,106.14784240722656,200.76909332275392,119.49457382202148,103.47008544921874
2017-03-17,206.0987091064453,124.10633850097656,106.0872573852539,200.96788726806642,119.7160319519043,103.56494674682617
2017-03-20,205.8726806640625,124.21936798095705,105.83626556396484,201.16527648925782,119.92696060180664,103.65876953125
2017-03-21,203.22938537597656,122.33455657958984,104.35621643066406,201.2957748413086,120.08025512695312,103.71658645629883
2017-03-22,203.70758056640625,123.16384887695312,104.49468231201172,201.4488232421875,120.24261169433593,103.78496261596679
2017-03-23,203.4902191162109,122.85289001464844,104.46007537841795,201.5975244140625,120.39367065429687,103.85108871459961
2017-03-24,203.3424224853516,123.10734558105467,104.47053527832033,201.73218872070314,120.54361190795899,103.9110188293457
2017-03-27,203.1337280273437,123.30524444580078,104.3487777709961,201.87254943847657,120.70108459472657,103.97388031005859
2017-03-28,204.6119079589844,124.05916595458984,105.0791015625,202.03346923828124,120.8657357788086,104.046328125
2017-03-29,204.8032073974609,124.63404083251952,105.27039337158205,202.21206604003908,121.04884414672851,104.13160339355468
2017-03-30,205.455307006836,124.84136962890624,105.66162872314452,202.39504760742187,121.23139663696288,104.22002914428711
2017-03-31,204.9770355224609,124.75655364990234,105.47905731201172,202.5830078125,121.41338088989258,104.31276626586914
2017-04-03,204.6205596923828,124.68118286132812,105.2182159423828,202.7494680786133,121.58877990722657,104.39336303710938
