Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Shares_SPY,Shares_QQQ,Shares_VTI,Cash,Contribution,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-08-06,77.00342559814453,35.89656066894531,35.686256408691406,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11359.43669576959,-140.56330423041072,-0.01344947001585153,Timing,Single
2001-08-07,77.3042984008789,35.71072769165039,35.75112533569336,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11403.821027110587,-96.17897288941276,0.00390726516901382,Timing,Single
2001-08-08,75.87051391601562,34.2072868347168,35.1022834777832,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11192.311162910812,-307.6888370891884,-0.018547280222738324,Timing,Single
2001-08-09,76.09452819824219,34.35087966918945,35.206111907958984,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11225.35743375051,-274.6425662494894,0.002952586857056659,Timing,Single
2001-08-10,76.3569564819336,34.02149200439453,35.34883117675781,,,,1,0,0,147.51858904369712,0,0,0.0,0,11500,11264.070483885827,-235.92951611417266,0.003448714249304959,Timing,Single
2001-08-13,76.37617492675781,34.71407699584961,35.410491943359375,,,,1,0,0,154.0651331784287,0,0,0.0,500,12000,11766.90556174991,-233.0944382500893,0.04464061891155866,Timing,Single
2001-08-14,76.3441390991211,34.29176330566406,35.33262634277344,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11761.969957698579,-238.03004230142142,-0.00041944791903285436,Timing,Single
2001-08-15,75.68488311767578,33.02481460571289,35.027679443359375,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11660.401597118529,-339.598402881471,-0.008635318823746007,Timing,Single
2001-08-16,75.9472885131836,33.4133415222168,35.13472366333008,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11700.829119324178,-299.17088067582154,0.0034670780306262972,Timing,Single
2001-08-17,74.73109436035156,31.89303970336914,34.59945297241211,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11513.456005197286,-486.5439948027142,-0.01601366127272484,Timing,Single
2001-08-20,75.42240905761719,32.33221435546875,34.842750549316406,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11619.96349609972,-380.0365039002809,0.00925069682416425,Timing,Single
2001-08-21,74.13581848144531,30.98928451538086,34.35613250732422,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11421.744747635688,-578.2552523643117,-0.017058465676812462,Timing,Single
2001-08-22,74.9039535522461,31.83390998840332,34.67405319213867,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11540.087579617633,-459.9124203823667,0.010361186893661063,Timing,Single
2001-08-23,74.63511657714844,31.521398544311523,34.628665924072266,,,,1,0,0,154.0651331784287,0,0,0.0,0,12000,11498.669175245926,-501.33082475407355,-0.0035890892582878652,Timing,Single
2001-08-24,76.18414306640625,33.19375991821289,35.26127243041992,77.0848780822754,35.24044731140137,35.697272872924806,0,0,0,0.0,0,0,11737.320147610346,0,12000,11737.320147610346,-262.6798523896541,0.020754660276528506,Timing,Single
2001-08-27,75.72966766357422,33.23598861694336,35.13472366333008,77.03955947875977,35.18554664611816,35.67941398620606,0,0,0,0.0,0,0,12237.320147610346,500,12500,12237.320147610346,-262.6798523896541,0.042599161794338314,Timing,Single
2001-08-28,74.62227630615234,32.19709396362305,34.547550201416016,76.97964599609375,35.11949691772461,35.65440711975098,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
2001-08-29,73.95660400390625,31.724103927612305,34.223114013671875,76.8996339416504,35.04753482818604,35.62090507507324,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
2001-08-30,72.53556823730469,30.55008316040039,33.71054458618164,76.78300796508789,34.936044425964354,35.56957908630371,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
2001-08-31,73.06688690185547,30.938594818115234,33.8532829284668,76.65921371459962,34.82252628326416,35.51528297424316,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
2001-09-04,72.59957122802734,29.958850860595703,33.674842834472656,76.53849044799804,34.69110263824463,35.462077865600584,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
2001-09-05,72.77884674072266,29.8405990600586,33.62617111206055,76.43581954956055,34.555455894470214,35.41257118225098,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
2001-09-06,70.9033432006836,28.632787704467773,32.94490051269531,76.29781494140624,34.3931192779541,35.35132049560547,0,0,0,0.0,0,0,12237.320147610346,0,12500,12237.320147610346,-262.6798523896541,0.0,Timing,Single
