Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Contribution,Cash,Shares_SPY,Shares_QQQ,Shares_VTI,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-08-13,76.37617492675781,34.71407699584961,35.410491943359375,,,,1,1,1,500.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11714.596061776936,-285.40393822306396,0.05219967428127248,Buy & Hold,Equal
2001-08-14,76.3441390991211,34.29176330566406,35.33262634277344,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11657.359793786596,-342.64020621340387,-0.0048858934348657845,Buy & Hold,Equal
2001-08-15,75.68488311767578,33.02481460571289,35.027679443359375,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11448.80332760054,-551.1966723994592,-0.017890540386101494,Buy & Hold,Equal
2001-08-16,75.9472885131836,33.4133415222168,35.13472366333008,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11517.35623086533,-482.6437691346691,0.005987778923542519,Buy & Hold,Equal
2001-08-17,74.73109436035156,31.89303970336914,34.59945297241211,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11226.450784414075,-773.5492155859247,-0.025258005450214283,Buy & Hold,Equal
2001-08-20,75.42240905761719,32.33221435546875,34.842750549316406,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11337.796350267428,-662.2036497325716,0.009918144923232175,Buy & Hold,Equal
2001-08-21,74.13581848144531,30.98928451538086,34.35613250732422,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11068.395754460114,-931.6042455398856,-0.023761283717268378,Buy & Hold,Equal
2001-08-22,74.9039535522461,31.83390998840332,34.67405319213867,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11237.042951827969,-762.9570481720311,0.015236823936287003,Buy & Hold,Equal
2001-08-23,74.63511657714844,31.521398544311523,34.628665924072266,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11183.458501409768,-816.5414985902316,-0.004768554382848844,Buy & Hold,Equal
2001-08-24,76.18414306640625,33.19375991821289,35.26127243041992,,,,1,1,1,0.0,0.0,51.35504439280957,111.15187839016622,111.090220081748,12000,11519.171329602843,-480.8286703971571,0.03001869485640385,Buy & Hold,Equal
2001-08-27,75.72966766357422,33.23598861694336,35.13472366333008,,,,1,1,1,500.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11986.467193913744,-513.5328060862557,0.040566795209479034,Buy & Hold,Equal
2001-08-28,74.62227630615234,32.19709396362305,34.547550201416016,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11738.460551549517,-761.5394484504832,-0.02069055363453176,Buy & Hold,Equal
2001-08-29,73.95660400390625,31.724103927612305,34.223114013671875,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11610.283596629964,-889.7164033700356,-0.010919400747369079,Buy & Hold,Equal
2001-08-30,72.53556823730469,30.55008316040039,33.71054458618164,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11338.42400260263,-1161.5759973973709,-0.023415413737718382,Buy & Hold,Equal
2001-08-31,73.06688690185547,30.938594818115234,33.8532829284668,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11428.545210329528,-1071.4547896704717,0.007948301078369635,Buy & Hold,Equal
2001-09-04,72.59957122802734,29.958850860595703,33.674842834472656,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11269.034865127729,-1230.965134872271,-0.013957187224287182,Buy & Hold,Equal
2001-09-05,72.77884674072266,29.8405990600586,33.62617111206055,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,11259.261384283745,-1240.7386157162546,-0.0008672864145826686,Buy & Hold,Equal
2001-09-06,70.9033432006836,28.632787704467773,32.94490051269531,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,10939.595736025514,-1560.4042639744857,-0.028391351559209466,Buy & Hold,Equal
2001-09-07,69.59112548828125,28.463844299316406,32.27986145019531,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,10772.659181130084,-1727.340818869916,-0.015259846791749965,Buy & Hold,Equal
2001-09-10,70.44245910644531,28.801713943481445,32.52315902709961,,,,1,1,1,0.0,0.0,53.5558551425289,116.1665228644907,115.83386537873993,12500,10885.684321576664,-1614.315678423336,0.010491851505388672,Buy & Hold,Equal
2001-09-17,66.76195526123047,26.35229682922364,30.97891426086425,,,,1,1,1,500.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10725.155681218785,-2274.8443187812154,-0.01474676608430514,Buy & Hold,Equal
2001-09-18,66.60194396972656,25.76105690002441,30.5831241607666,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10595.789814299758,-2404.2101857002417,-0.012061910406164444,Buy & Hold,Equal
2001-09-19,65.25769805908203,25.313405990600582,30.171104431152344,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10415.666006977495,-2584.3339930225047,-0.016999564022983304,Buy & Hold,Equal
2001-09-20,63.18377304077149,24.4687728881836,29.19782829284668,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10077.983177770677,-2922.016822229323,-0.03242066604100047,Buy & Hold,Equal
2001-09-21,62.50211334228516,23.809978485107425,28.72743797302246,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,9902.060322803698,-3097.939677196302,-0.017456156838504877,Buy & Hold,Equal
2001-09-24,64.69945526123047,25.00934219360352,29.754636764526367,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10296.648460800807,-2703.351539199193,0.039849094545344466,Buy & Hold,Equal
2001-09-25,65.37408447265625,25.08536529541016,30.03464126586914,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10377.715551848905,-2622.2844481510947,0.007873153226189977,Buy & Hold,Equal
2001-09-26,65.14276885986328,24.21539878845215,29.80346298217773,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10230.164629615498,-2769.8353703845023,-0.014218054204339747,Buy & Hold,Equal
2001-09-27,65.70817565917969,24.054914474487305,30.099754333496094,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10278.113697457216,-2721.8863025427836,0.004687027978309333,Buy & Hold,Equal
2001-09-28,67.10237121582031,24.47722244262696,30.9136905670166,,,,1,1,1,0.0,0.0,56.05228692039584,122.49108226615319,121.21386886314923,13000,10506.650866761145,-2493.349133238855,0.022235322164267268,Buy & Hold,Equal
2001-10-01,66.9931640625,24.26606750488281,30.63370132446289,,,,1,1,1,500.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,10940.726379889355,-2559.2736201106454,0.04131435589065324,Buy & Hold,Equal
2001-10-02,67.83483123779297,24.34208297729492,31.01137351989746,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11047.664860679968,-2452.335139320032,0.009774349259586756,Buy & Hold,Equal
2001-10-03,68.97205352783203,26.183368682861328,31.558347702026367,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11421.702296227291,-2078.2977037727087,0.033856696438952394,Buy & Hold,Equal
2001-10-04,69.02989959716797,26.436750411987305,31.66251564025879,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11471.059253529898,-2028.9407464701017,0.004321331096058367,Buy & Hold,Equal
2001-10-05,68.89495086669922,26.825284957885746,31.67881202697754,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11515.48394107756,-1984.5160589224397,0.0038727624507728375,Buy & Hold,Equal
2001-10-08,68.44522857666016,26.90974998474121,31.46718978881836,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11473.280586999605,-2026.7194130003954,-0.003664922316239716,Buy & Hold,Equal
2001-10-09,68.07898712158203,26.25938606262207,31.25881004333496,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11341.317865904724,-2158.6821340952756,-0.01150174268765003,Buy & Hold,Equal
2001-10-10,69.59526824951172,27.45030212402344,32.001129150390625,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11678.155342261665,-1821.8446577383347,0.02970002960322371,Buy & Hold,Equal
2001-10-11,70.67469024658203,29.3084774017334,32.587162017822266,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,12055.940925606825,-1444.0590743931753,0.032349765204612746,Buy & Hold,Equal
2001-10-12,70.35342407226562,29.18179512023925,32.339725494384766,,,,1,1,1,0.0,0.0,58.540102938626866,129.35938371768134,126.65449991525044,13500,11989.407479692867,-1510.5925203071329,-0.005518726935086482,Buy & Hold,Equal
2001-10-15,70.22492980957031,29.05508613586425,32.385311126708984,,,,1,1,1,500.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12471.26804166276,-1528.7319583372391,0.040190523408771384,Buy & Hold,Equal
2001-10-16,70.66828155517578,29.52808952331543,32.56761932373047,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12586.2031781328,-1413.7968218671995,0.009215994402981043,Buy & Hold,Equal
2001-10-17,69.16480255126953,27.40806198120117,31.906700134277344,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12121.104972201685,-1878.895027798315,-0.036953019059725256,Buy & Hold,Equal
2001-10-18,69.01704406738281,28.151342391967773,31.74065017700196,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12190.632891605335,-1809.3671083946647,0.005736104056775604,Buy & Hold,Equal
2001-10-19,68.97205352783203,28.337156295776367,31.82858085632324,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12224.584346679781,-1775.4156533202186,0.0027850444990289436,Buy & Hold,Equal
2001-10-22,70.33417510986328,29.09732437133789,32.303924560546875,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12472.901927979774,-1527.098072020226,0.020312967235359247,Buy & Hold,Equal
2001-10-23,69.974365234375,29.249366760253903,32.1834602355957,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12455.647632165008,-1544.352367834992,-0.00138334253844008,Buy & Hold,Equal
2001-10-24,69.78802490234375,29.88282585144043,32.16714859008789,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12527.724659453344,-1472.2753405466556,0.005786694471205722,Buy & Hold,Equal
2001-10-25,71.04093170166016,31.08218765258789,32.622982025146484,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12826.151269501424,-1173.8487304985756,0.0238212938231277,Buy & Hold,Equal
2001-10-26,70.8802719116211,30.41493034362793,32.798797607421875,,,,1,1,1,0.0,0.0,60.913429150822715,135.0956140591547,131.80086599506285,14000,12749.394040873412,-1250.6059591265875,-0.005984431885699748,Buy & Hold,Equal
2001-10-29,69.03631591796875,28.751020431518555,32.03694534301758,,,,1,1,1,500.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,12811.872638572519,-1688.1273614274814,0.004900515075367817,Buy & Hold,Equal
2001-10-30,68.20748901367188,28.193578720092773,31.509498596191406,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,12608.583755206804,-1891.4162447931958,-0.01586722636889748,Buy & Hold,Equal
2001-10-31,67.9761962890625,28.632787704467773,31.54858589172364,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,12661.172878433172,-1838.8271215668283,0.004170898512265486,Buy & Hold,Equal
2001-11-01,69.71737670898438,29.84904289245605,32.21276092529297,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13033.793032258433,-1466.2069677415675,0.029430145011286823,Buy & Hold,Equal
2001-11-02,70.19278717041016,30.06863212585449,32.26484298706055,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13101.973531065853,-1398.0264689341475,0.005231055813044838,Buy & Hold,Equal
2001-11-05,71.1115951538086,31.048398971557617,32.7271614074707,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13361.540361214174,-1138.4596387858255,0.019811277250169068,Buy & Hold,Equal
2001-11-06,72.21669006347656,32.2562141418457,33.20250701904297,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13666.819366148879,-833.1806338511215,0.02284759067306852,Buy & Hold,Equal
2001-11-07,72.12030029296875,32.2140007019043,33.1439208984375,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13646.741188546626,-853.2588114533737,-0.0014691185318497224,Buy & Hold,Equal
2001-11-08,72.34513092041016,31.884584426879883,33.163455963134766,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13617.243257010343,-882.7567429896571,-0.0021615366722892437,Buy & Hold,Equal
2001-11-09,72.42224884033203,31.86770439147949,33.23507308959961,,,,1,1,1,0.0,0.0,63.327617458100086,140.89250975764466,137.00319302350383,14500,13629.560455590812,-870.4395444091879,0.0009045295253962138,Buy & Hold,Equal
2001-11-12,71.97892761230469,32.09574508666992,33.176475524902344,,,,1,1,1,500.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14125.587150856572,-874.4128491434276,0.03639344767441055,Buy & Hold,Equal
2001-11-13,73.5980453491211,33.24443054199219,33.76252365112305,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14482.911700114062,-517.0882998859379,0.025296261701647005,Buy & Hold,Equal
2001-11-14,73.66873931884766,33.480926513671875,33.97087860107422,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14551.692852217024,-448.30714778297624,0.004749124590908149,Buy & Hold,Equal
2001-11-15,73.80364990234375,33.34578323364258,33.863433837890625,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14525.546315626407,-474.4536843735932,-0.0017968037709532592,Buy & Hold,Equal
2001-11-16,73.4759521484375,33.25286865234375,33.85041809082031,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14488.613175553492,-511.3868244465084,-0.002542633459037824,Buy & Hold,Equal
