Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Contribution,Cash,Shares_SPY,Shares_QQQ,Shares_VTI,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2020-01-06,296.5718688964844,208.00125122070312,150.6114044189453,,,,1,1,1,0.0,0.0,1193.5155059233375,1605.073005199697,961.952274065989,243000,832701.3005118052,589701.3005118052,0.004797494398960378,Buy & Hold,Custom
2020-01-07,295.738037109375,207.9723052978516,150.2543182373047,,,,1,1,1,0.0,0.0,1193.5155059233375,1605.073005199697,961.952274065989,243000,831316.149160712,588316.149160712,-0.001663443242182816,Buy & Hold,Custom
2020-01-08,297.31414794921875,209.5354766845703,150.9959716796875,,,,1,1,1,0.0,0.0,1193.5155059233375,1605.073005199697,961.952274065989,243000,836419.7012979112,593419.7012979112,0.006139123054871076,Buy & Hold,Custom
2020-01-09,299.33013916015625,211.31100463867188,151.93907165527344,,,,1,1,1,500.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,843082.8872232626,599582.8872232626,0.007966318721345012,Buy & Hold,Custom
2020-01-10,298.4686889648437,210.7705993652344,151.49954223632812,,,,1,1,1,0.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,840763.1444465795,597263.1444465795,-0.0027515002520371867,Buy & Hold,Custom
2020-01-13,300.5214233398437,213.2022247314453,152.53419494628906,,,,1,1,1,0.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,848115.4590190281,604615.4590190281,0.008744810736545983,Buy & Hold,Custom
2020-01-14,300.0633239746094,212.3627471923828,152.45181274414062,,,,1,1,1,0.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,846141.0071092804,602641.0071092804,-0.002328046127152761,Buy & Hold,Custom
2020-01-15,300.7413024902344,212.44960021972656,152.82723999023438,,,,1,1,1,0.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,847451.6085131869,603951.6085131869,0.0015489160706014804,Buy & Hold,Custom
2020-01-16,303.24298095703125,214.48562622070312,154.1365509033203,,,,1,1,1,0.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,854969.2619496535,611469.2619496535,0.008870894055716061,Buy & Hold,Custom
2020-01-17,304.1868591308594,215.54705810546875,154.52110290527344,,,,1,1,1,0.0,0.0,1194.3507041452788,1605.7828593800625,962.6104326219848,243500,858171.1864071143,614671.1864071143,0.003745075524889785,Buy & Hold,Custom
